slot,hour,row,col,avg_traffic
早高峰,8,4,12,222.95129528802462
早高峰,8,4,13,282.4474158916392
早高峰,8,4,14,123.8994767623352
早高峰,8,4,15,181.462741301295
早高峰,8,4,16,559.389295612083
早高峰,8,4,17,459.7517076884065
早高峰,8,4,18,242.24305695194505
早高峰,8,4,19,142.56048243974325
早高峰,8,5,0,79.67923536317103
早高峰,8,5,1,149.87346979371506
早高峰,8,5,2,175.32391589824962
早高峰,8,5,3,239.185942107179
早高峰,8,5,4,246.33366989214085
早高峰,8,5,5,277.9996129086301
早高峰,8,5,6,574.6860115874399
早高峰,8,5,7,443.84198581498435
早高峰,8,5,8,190.68623262266752
早高峰,8,5,9,166.10742363872177
早高峰,8,5,10,540.1130823292447
早高峰,8,5,11,334.6225614988904
早高峰,8,5,12,269.0613734021459
早高峰,8,5,13,253.19584954543274
早高峰,8,5,14,114.63852684973514
早高峰,8,5,15,220.06587506644425
早高峰,8,5,16,587.5360938697158
早高峰,8,5,17,595.6560947913855
早高峰,8,5,18,304.11267281640187
早高峰,8,5,19,225.16212147925225
早高峰,8,6,0,32.17750881877638
早高峰,8,6,1,111.70956170213644
早高峰,8,6,2,164.09143175228502
早高峰,8,6,3,569.4744961393585
早高峰,8,6,4,499.5195894207226
早高峰,8,6,5,441.8325801935973
早高峰,8,6,6,802.171138450649
早高峰,8,6,7,516.9257261535755
早高峰,8,6,8,101.42355769540539
早高峰,8,6,9,235.42743091603768
早高峰,8,6,10,579.2371435759799
早高峰,8,6,11,411.8571349992287
早高峰,8,6,12,338.2868099043764
早高峰,8,6,13,334.59616245676284
早高峰,8,6,14,206.8047949477656
早高峰,8,6,15,352.6965970611136
早高峰,8,6,16,724.6602700372808
早高峰,8,6,17,395.83757706499625
早高峰,8,6,18,321.1600308313602
早高峰,8,6,19,275.37628071940605
早高峰,8,7,0,40.85328400457721
早高峰,8,7,1,114.52234989737212
早高峰,8,7,2,166.47350605287798
早高峰,8,7,3,250.11171718960392
早高峰,8,7,4,380.39112994546286
早高峰,8,7,5,724.3860526997486
早高峰,8,7,6,1000.7660772419604
早高峰,8,7,7,614.6871323602165
早高峰,8,7,8,446.65758569060614
早高峰,8,7,9,1272.8492311128116
早高峰,8,7,10,1302.791141499582
早高峰,8,7,11,1383.1778563128812
早高峰,8,7,12,1100.1532064399541
早高峰,8,7,13,860.7546305659105
早高峰,8,7,14,771.8600388861464
早高峰,8,7,15,519.8966529054711
早高峰,8,7,16,472.5491093402272
早高峰,8,7,17,314.99457626302484
早高峰,8,7,18,281.8613948578099
早高峰,8,7,19,258.58451287186074
早高峰,8,8,0,73.15496115796103
早高峰,8,8,1,108.46787128679016
早高峰,8,8,2,137.9254993292744
早高峰,8,8,3,173.60258776910987
早高峰,8,8,4,438.32289037122626
早高峰,8,8,5,994.4409137024546
早高峰,8,8,6,630.4798073708677
早高峰,8,8,7,728.9806000660778
早高峰,8,8,8,1120.3586534586807
早高峰,8,8,9,1463.9860964241632
早高峰,8,8,10,1439.6607081383868
早高峰,8,8,11,1872.4111361282712
早高峰,8,8,12,1627.9679977374424
早高峰,8,8,13,1501.735720485675
早高峰,8,8,14,668.6852425515093
早高峰,8,8,15,682.9871612811063
早高峰,8,8,16,543.9869087420412
早高峰,8,8,17,186.59821261610077
早高峰,8,8,18,153.57162797652498
早高峰,8,8,19,151.5157790098711
早高峰,8,9,0,41.526448284876714
早高峰,8,9,1,102.62944401681074
早高峰,8,9,2,121.57389304449622
早高峰,8,9,3,188.71289745161985
早高峰,8,9,4,541.7435983102436
早高峰,8,9,5,908.4274754005752
早高峰,8,9,6,540.9978115926148
早高峰,8,9,7,854.8628442962447
早高峰,8,9,8,1462.7747551837404
早高峰,8,9,9,2224.421624769536
早高峰,8,9,10,2422.2883948355416
早高峰,8,9,11,2609.4603931106185
早高峰,8,9,12,2812.682750758136
早高峰,8,9,13,1543.930126744099
早高峰,8,9,14,1016.0001421001799
早高峰,8,9,15,732.007107801143
早高峰,8,9,16,464.9616345727958
早高峰,8,9,17,536.4210769819231
早高峰,8,9,18,425.55719824096263
早高峰,8,9,19,91.09195602530387
早高峰,8,10,0,54.52869861838034
早高峰,8,10,1,36.363166248433224
早高峰,8,10,2,138.57829788930263
早高峰,8,10,3,350.2932905637097
早高峰,8,10,4,458.87224770079087
早高峰,8,10,5,565.8622820338701
早高峰,8,10,6,657.4173987127978
早高峰,8,10,7,590.8095261439529
早高峰,8,10,8,1436.2275177696226
早高峰,8,10,9,2049.4047194157374
早高峰,8,10,10,2533.710000182481
早高峰,8,10,11,2950.697211806944
早高峰,8,10,12,2074.738680215956
早高峰,8,10,13,2308.4555135162095
早高峰,8,10,14,1593.0977299907781
早高峰,8,10,15,566.8646805706301
早高峰,8,10,16,261.8238607817892
早高峰,8,10,17,446.44889590338073
早高峰,8,10,18,238.44256052052103
早高峰,8,10,19,281.33733740220237
早高峰,8,11,0,102.38287941658992
早高峰,8,11,1,83.11805204716842
早高峰,8,11,2,140.75477679302912
早高峰,8,11,3,193.2741862706619
早高峰,8,11,4,248.15901103524615
早高峰,8,11,5,266.84218415541244
早高峰,8,11,6,224.8963468713885
早高峰,8,11,7,466.8160110829016
早高峰,8,11,8,1146.5913910758693
早高峰,8,11,9,1785.0869262871354
早高峰,8,11,10,2052.2077505598477
早高峰,8,11,11,2097.144365516414
早高峰,8,11,12,1903.5740683132537
早高峰,8,11,13,2148.266045474688
早高峰,8,11,14,1632.0602177279702
早高峰,8,11,15,773.7823534090555
早高峰,8,11,16,329.32485092906524
早高峰,8,11,17,278.33571536651647
早高峰,8,11,18,247.4862576972797
早高峰,8,11,19,407.8708535115488
早高峰,8,12,0,214.54979885393792
早高峰,8,12,1,216.62239371292517
早高峰,8,12,2,231.49539150864496
早高峰,8,12,3,385.9656060381105
早高峰,8,12,4,147.9070134140114
早高峰,8,12,5,144.1613521953074
早高峰,8,12,6,263.8834598129194
早高峰,8,12,7,542.8821892604124
早高峰,8,12,8,862.7244719310098
早高峰,8,12,9,2014.0334860328428
早高峰,8,12,10,1664.1835278871156
早高峰,8,12,11,2229.2847238666495
早高峰,8,12,12,2290.8285557937
早高峰,8,12,13,1850.1267570846203
早高峰,8,12,14,1931.0208855182975
早高峰,8,12,15,901.4645041577426
早高峰,8,12,16,418.67722312598005
早高峰,8,12,17,377.8215180675773
早高峰,8,12,18,442.57370268037556
早高峰,8,12,19,634.421380813005
早高峰,8,13,0,186.26976795753316
早高峰,8,13,1,248.33597980141005
早高峰,8,13,2,193.6298793693119
早高峰,8,13,3,276.6243183835395
早高峰,8,13,4,273.5739686658898
早高峰,8,13,5,332.65099296560567
早高峰,8,13,6,528.1234906063471
早高峰,8,13,7,652.4691705298347
早高峰,8,13,8,588.8741563246236
早高峰,8,13,9,1134.7144041981837
早高峰,8,13,10,1218.997624468098
早高峰,8,13,11,1585.7150157098195
早高峰,8,13,12,1516.3844864993987
早高峰,8,13,13,993.8041943045376
早高峰,8,13,14,1571.973632341703
早高峰,8,13,15,682.8986965863448
早高峰,8,13,16,582.5989744291095
早高峰,8,13,17,541.7554129109819
早高峰,8,13,18,586.9313981607032
早高峰,8,13,19,437.8934184907901
早高峰,8,14,0,300.58174587549996
早高峰,8,14,1,310.21818179069123
早高峰,8,14,2,255.44592262122327
早高峰,8,14,3,352.7962576806453
早高峰,8,14,4,564.3670209557874
早高峰,8,14,5,725.5430624048412
早高峰,8,14,6,453.5255070421837
早高峰,8,14,7,740.5499004951877
早高峰,8,14,8,915.4501421015415
早高峰,8,14,9,483.08083311556885
早高峰,8,14,10,735.0903089787834
早高峰,8,14,11,1508.9210785027549
早高峰,8,14,12,1252.3519588556624
早高峰,8,14,13,1010.1773565892455
早高峰,8,14,14,1002.3809799039238
早高峰,8,14,15,703.0332802190406
早高峰,8,14,16,764.1819600766204
早高峰,8,14,17,662.4019378329267
早高峰,8,14,18,566.4670724066962
早高峰,8,14,19,292.7718233063843
早高峰,8,15,0,268.0000512864544
早高峰,8,15,1,366.12957737403906
早高峰,8,15,2,477.31876575737095
早高峰,8,15,3,404.1540530075847
早高峰,8,15,4,646.4107187688587
早高峰,8,15,5,546.2551815188494
早高峰,8,15,6,646.9829984439178
早高峰,8,15,7,785.5756094669445
早高峰,8,15,8,868.5361292005957
早高峰,8,15,9,622.7112186717211
早高峰,8,15,10,868.4005977155789
早高峰,8,15,11,641.3943269392629
早高峰,8,15,12,644.8571353584158
早高峰,8,15,13,1071.5605232498438
早高峰,8,15,14,893.7937861700152
早高峰,8,15,15,461.0420939431216
早高峰,8,15,16,684.5512577719909
早高峰,8,15,17,787.4989834583156
早高峰,8,15,18,634.6930009452705
早高峰,8,15,19,246.45180617374308
早高峰,8,16,0,351.1093495301658
早高峰,8,16,1,506.8161899269919
早高峰,8,16,2,653.1011686369226
早高峰,8,16,3,390.7970500723276
早高峰,8,16,4,459.8110107971735
早高峰,8,16,5,281.7733713730621
早高峰,8,16,6,551.4166863587337
早高峰,8,16,7,604.8923968809789
早高峰,8,16,8,718.995842811326
早高峰,8,16,9,594.337139764443
早高峰,8,16,10,785.6269460321713
早高峰,8,16,11,581.5367041404758
早高峰,8,16,12,520.1282317786495
早高峰,8,16,13,901.9614426115077
早高峰,8,16,14,1470.4355203641728
早高峰,8,16,15,1003.9550688987799
早高峰,8,16,16,679.6845801862409
早高峰,8,16,17,1016.2861497651145
早高峰,8,16,18,661.183318881228
早高峰,8,16,19,315.28392825366666
早高峰,8,17,0,434.5873921914163
早高峰,8,17,1,382.42381394801225
早高峰,8,17,2,483.52879970620853
早高峰,8,17,3,430.3039315284411
早高峰,8,17,4,343.0224435256616
早高峰,8,17,5,317.21501491740935
早高峰,8,17,6,662.7879626036943
早高峰,8,17,7,682.1415901796528
早高峰,8,17,8,437.12594081300483
早高峰,8,17,9,463.4926498335885
早高峰,8,17,10,939.0067119361646
早高峰,8,17,11,1046.5283959896665
早高峰,8,17,12,860.9172522137873
早高峰,8,17,13,779.3794479218836
早高峰,8,17,14,1385.964334316133
早高峰,8,17,15,762.7164871345188
早高峰,8,17,16,468.9257234249326
早高峰,8,17,17,591.0764104703646
早高峰,8,17,18,607.0187049262316
早高峰,8,17,19,466.9737396184131
早高峰,8,18,0,308.8630348656718
早高峰,8,18,1,225.44467461541691
早高峰,8,18,2,221.77210053787306
早高峰,8,18,3,307.73933313849676
早高峰,8,18,4,361.0342579163159
早高峰,8,18,5,288.3123919419501
早高峰,8,18,6,288.90114150152823
早高峰,8,18,7,357.35824434364787
早高峰,8,18,8,293.93839381551885
早高峰,8,18,9,390.2360304323977
早高峰,8,18,10,571.0990356414222
早高峰,8,18,11,819.0078219951314
早高峰,8,18,12,669.3165223357388
早高峰,8,18,13,1471.9737461326913
早高峰,8,18,14,1115.999779846162
早高峰,8,18,15,734.0200424529482
早高峰,8,18,16,770.1643300108641
早高峰,8,18,17,540.3709592018088
早高峰,8,18,18,472.4797005207161
早高峰,8,18,19,530.8111187652727
早高峰,8,19,0,141.1753530838876
早高峰,8,19,1,76.6011984911094
早高峰,8,19,2,105.1668213823057
早高峰,8,19,3,219.6929104902212
早高峰,8,19,4,296.39363467729277
早高峰,8,19,5,208.14313412026348
早高峰,8,19,6,134.95309316820465
早高峰,8,19,7,96.62163807688609
早高峰,8,19,8,260.4426905428202
早高峰,8,19,9,553.944476708646
早高峰,8,19,10,496.39875977875505
早高峰,8,19,11,612.4658104496526
早高峰,8,19,12,487.5561746018532
早高峰,8,19,13,681.8161544136716
早高峰,8,19,14,701.6751118576927
早高峰,8,19,15,699.7456862106899
早高峰,8,19,16,756.3543778637612
早高峰,8,19,17,534.9517674514459
早高峰,8,19,18,364.1179190371267
早高峰,8,19,19,381.78529434925935
晚高峰,18,0,0,166.22917546722567
晚高峰,18,0,1,181.05616337129985
晚高峰,18,0,2,66.02528026997494
晚高峰,18,0,3,69.5125142092778
晚高峰,18,0,4,93.37650413752765
晚高峰,18,0,5,102.72642921778615
晚高峰,18,0,6,111.13584147581805
晚高峰,18,0,7,163.66881576869176
晚高峰,18,0,8,280.10831996464645
晚高峰,18,0,9,665.4135200840321
晚高峰,18,0,10,279.7156893633682
晚高峰,18,0,11,205.12529186629553
晚高峰,18,0,12,241.66150949355426
晚高峰,18,0,13,403.56001387963613
晚高峰,18,0,14,228.90649538473082
晚高峰,18,0,15,204.77265795303484
晚高峰,18,0,16,94.43280689922338
晚高峰,18,0,17,86.8614806459581
晚高峰,18,0,18,132.5709415918254
晚高峰,18,0,19,193.84893975633136
晚高峰,18,1,0,76.7157764673064
晚高峰,18,1,1,70.16679635743998
晚高峰,18,1,2,62.4445438315378
晚高峰,18,1,3,70.13080908151915
晚高峰,18,1,4,103.45471011967966
晚高峰,18,1,5,102.64137638620515
晚高峰,18,1,6,116.47817612135886
晚高峰,18,1,7,225.01903884861676
晚高峰,18,1,8,262.8240985955239
晚高峰,18,1,9,680.7651458326137
晚高峰,18,1,10,805.4637989757209
晚高峰,18,1,11,477.85654771738416
晚高峰,18,1,12,520.1585750715899
晚高峰,18,1,13,591.9864742059074
晚高峰,18,1,14,223.68388602021736
晚高峰,18,1,15,194.94548888704392
晚高峰,18,1,16,132.67842527337538
晚高峰,18,1,17,80.35341501420858
晚高峰,18,1,18,120.91784946485667
晚高峰,18,1,19,279.51159422705246
晚高峰,18,2,0,68.61973026164128
晚高峰,18,2,1,58.25977115286857
晚高峰,18,2,2,80.90827562693333
晚高峰,18,2,3,84.1793072613321
晚高峰,18,2,4,87.00946120867424
晚高峰,18,2,5,81.3390655481383
晚高峰,18,2,6,131.45695161504372
晚高峰,18,2,7,265.6673874997972
晚高峰,18,2,8,306.25821455222814
晚高峰,18,2,9,1242.1381464786393
晚高峰,18,2,10,1265.6049923991634
晚高峰,18,2,11,643.9970310867486
晚高峰,18,2,12,482.612723435832
晚高峰,18,2,13,567.3083219961238
晚高峰,18,2,14,286.2904494437481
晚高峰,18,2,15,192.529264032648
晚高峰,18,2,16,263.24373022435486
晚高峰,18,2,17,298.7535509540938
晚高峰,18,2,18,246.4806290099374
晚高峰,18,2,19,584.4353744127062
晚高峰,18,3,0,62.941259652415766
晚高峰,18,3,1,93.3015302981843
晚高峰,18,3,2,155.25300384400182
晚高峰,18,3,3,144.30216762969843
晚高峰,18,3,4,132.1987789501469
晚高峰,18,3,5,140.4770712594707
晚高峰,18,3,6,126.40756510291133
晚高峰,18,3,7,195.69416248700972
晚高峰,18,3,8,497.4087877314597
晚高峰,18,3,9,915.9627785786017
晚高峰,18,3,10,1155.9447766813607
晚高峰,18,3,11,846.7390934531991
晚高峰,18,3,12,163.0550699065325
晚高峰,18,3,13,380.22109832740813
晚高峰,18,3,14,317.96451134660913
晚高峰,18,3,15,266.7666026628265
晚高峰,18,3,16,687.6771638369053
晚高峰,18,3,17,690.7049286769139
晚高峰,18,3,18,573.1787681709976
晚高峰,18,3,19,422.2663657855037
晚高峰,18,4,0,86.7677048178292
晚高峰,18,4,1,210.10132335105482
晚高峰,18,4,2,203.15826174632855
晚高峰,18,4,3,208.34530752587978
晚高峰,18,4,4,191.73899746794743
晚高峰,18,4,5,134.69200184183697
晚高峰,18,4,6,265.3147411119004
晚高峰,18,4,7,654.6098277033925
晚高峰,18,4,8,915.1725827321668
晚高峰,18,4,9,1404.4942550998956
晚高峰,18,4,10,592.4043647156718
晚高峰,18,4,11,241.45445470061503
晚高峰,18,4,12,345.40305613754145
晚高峰,18,4,13,337.0274472042839
晚高峰,18,4,14,259.0944788369286
晚高峰,18,4,15,223.5421518337959
晚高峰,18,4,16,825.8767492790339
晚高峰,18,4,17,778.5799927683848
晚高峰,18,4,18,426.8643385107935
晚高峰,18,4,19,247.68317095288776
晚高峰,18,5,0,127.54904938165546
晚高峰,18,5,1,232.47542090276932
晚高峰,18,5,2,260.4487730846395
晚高峰,18,5,3,406.649682240777
晚高峰,18,5,4,371.51968615675673
晚高峰,18,5,5,445.65310503818233
晚高峰,18,5,6,1072.860855616827
晚高峰,18,5,7,818.2087035778247
晚高峰,18,5,8,402.40898195731563
晚高峰,18,5,9,295.0109839137848
晚高峰,18,5,10,955.7148982824273
晚高峰,18,5,11,610.5534316879591
晚高峰,18,5,12,405.8440970281971
晚高峰,18,5,13,377.85995847260875
晚高峰,18,5,14,197.37663177220443
晚高峰,18,5,15,358.8109735145559
晚高峰,18,5,16,901.7123048671364
晚高峰,18,5,17,845.9493439506591
晚高峰,18,5,18,453.63197541268914
晚高峰,18,5,19,453.7588511298244
晚高峰,18,6,0,46.15061270820425
晚高峰,18,6,1,150.01814693832299
晚高峰,18,6,2,243.90444846030994
晚高峰,18,6,3,1072.1747582930723
晚高峰,18,6,4,1163.3528160916283
晚高峰,18,6,5,845.2516970249287
晚高峰,18,6,6,1537.0167693853716
晚高峰,18,6,7,1097.326752452213
晚高峰,18,6,8,210.73148921887926
晚高峰,18,6,9,445.7642981514672
晚高峰,18,6,10,1015.8683512538853
晚高峰,18,6,11,776.790261196908
晚高峰,18,6,12,536.8320944401702
晚高峰,18,6,13,512.251128717234
晚高峰,18,6,14,337.6823797422323
晚高峰,18,6,15,538.8665923921192
晚高峰,18,6,16,1124.304138216864
晚高峰,18,6,17,649.4338015676351
晚高峰,18,6,18,533.3010242191164
晚高峰,18,6,19,544.3889022538492
晚高峰,18,7,0,58.678733800430805
晚高峰,18,7,1,155.47881668508217
晚高峰,18,7,2,210.6932844795393
晚高峰,18,7,3,451.21734445294675
晚高峰,18,7,4,842.8866130964993
晚高峰,18,7,5,1398.9850515824076
晚高峰,18,7,6,1748.741002501671
晚高峰,18,7,7,1092.1999321904962
晚高峰,18,7,8,803.3099211447201
晚高峰,18,7,9,2053.062628218708
晚高峰,18,7,10,1941.5458935771314
晚高峰,18,7,11,2123.7171767448617
晚高峰,18,7,12,1793.3134137502561
晚高峰,18,7,13,1314.7890534626506
晚高峰,18,7,14,1258.776840869961
晚高峰,18,7,15,900.5310561188485
晚高峰,18,7,16,687.8139989250996
晚高峰,18,7,17,439.10664916723493
晚高峰,18,7,18,399.9694464668355
晚高峰,18,7,19,422.4233170931728
晚高峰,18,8,0,121.26720235861863
晚高峰,18,8,1,186.26985775474878
晚高峰,18,8,2,183.70358885586663
晚高峰,18,8,3,329.05522122975924
晚高峰,18,8,4,690.5837444468692
晚高峰,18,8,5,1661.7046774211224
晚高峰,18,8,6,987.4199577439014
晚高峰,18,8,7,1199.4825648872745
晚高峰,18,8,8,2015.176090285666
晚高峰,18,8,9,2560.1278728922357
晚高峰,18,8,10,2434.3830175409466
晚高峰,18,8,11,2931.2950185554832
晚高峰,18,8,12,2809.9947587939478
晚高峰,18,8,13,2637.7333974578314
晚高峰,18,8,14,875.1628076635686
晚高峰,18,8,15,1181.4177950291516
晚高峰,18,8,16,771.1274404077475
晚高峰,18,8,17,240.07487358809178
晚高峰,18,8,18,237.95357548061313
晚高峰,18,8,19,282.4687993716627
晚高峰,18,9,0,64.0594790031043
晚高峰,18,9,1,149.7401308420805
晚高峰,18,9,2,179.98923547247352
晚高峰,18,9,3,323.1302854071755
晚高峰,18,9,4,890.0676111376574
晚高峰,18,9,5,1442.5788824282893
晚高峰,18,9,6,872.7310537133557
晚高峰,18,9,7,1409.05562308882
晚高峰,18,9,8,2517.038540101902
晚高峰,18,9,9,3928.2023134525484
晚高峰,18,9,10,4374.8146486277865
晚高峰,18,9,11,4675.500882231824
晚高峰,18,9,12,3844.849199148628
晚高峰,18,9,13,2828.015739839165
晚高峰,18,9,14,1634.8940245310673
晚高峰,18,9,15,1257.6742507550794
晚高峰,18,9,16,569.2752076968833
晚高峰,18,9,17,570.7900759787403
晚高峰,18,9,18,461.3535927510475
晚高峰,18,9,19,167.7146404086094
晚高峰,18,10,0,78.35768251837695
晚高峰,18,10,1,44.63754171510961
晚高峰,18,10,2,247.50064136604004
晚高峰,18,10,3,562.8454741735092
晚高峰,18,10,4,738.1694113345758
晚高峰,18,10,5,913.0908814164906
晚高峰,18,10,6,951.7100140558614
晚高峰,18,10,7,1007.4531091777284
晚高峰,18,10,8,2630.2828576035145
晚高峰,18,10,9,4043.1371860992167
晚高峰,18,10,10,4125.827079846957
晚高峰,18,10,11,4645.115674280015
晚高峰,18,10,12,3687.1900768254445
晚高峰,18,10,13,3821.902448870845
晚高峰,18,10,14,2700.524813997756
晚高峰,18,10,15,905.3274808814854
晚高峰,18,10,16,405.5863887615657
晚高峰,18,10,17,563.668607845936
晚高峰,18,10,18,413.3293150192095
晚高峰,18,10,19,515.7210639848234
晚高峰,18,11,0,166.29514762215757
晚高峰,18,11,1,131.91314395789757
晚高峰,18,11,2,248.7134491970645
晚高峰,18,11,3,360.0115195490977
晚高峰,18,11,4,355.46279723763587
晚高峰,18,11,5,446.41047242251057
晚高峰,18,11,6,424.52565758741065
晚高峰,18,11,7,817.7912642526054
晚高峰,18,11,8,1843.214996413632
晚高峰,18,11,9,2795.268088282309
晚高峰,18,11,10,4137.8887957190345
晚高峰,18,11,11,4143.848221339785
晚高峰,18,11,12,3064.6087103923655
晚高峰,18,11,13,4232.226843831211
晚高峰,18,11,14,2588.744349892226
晚高峰,18,11,15,1235.3653287491065
晚高峰,18,11,16,459.7104571543025
晚高峰,18,11,17,425.53677386375807
晚高峰,18,11,18,456.30273032043795
晚高峰,18,11,19,658.5641251282925
晚高峰,18,12,0,373.0690144050661
晚高峰,18,12,1,350.65110085612235
晚高峰,18,12,2,357.9014021556194
晚高峰,18,12,3,691.0713041762093
晚高峰,18,12,4,205.70939245732265
晚高峰,18,12,5,246.24722457987258
晚高峰,18,12,6,476.125871011978
晚高峰,18,12,7,868.7522900381342
晚高峰,18,12,8,1527.9356914443988
晚高峰,18,12,9,3028.355741020161
晚高峰,18,12,10,2937.103306133194
晚高峰,18,12,11,3847.1244565728416
晚高峰,18,12,12,3587.081819441458
晚高峰,18,12,13,3170.5775070614545
晚高峰,18,12,14,3200.586709784407
晚高峰,18,12,15,1617.8565162756195
晚高峰,18,12,16,684.6450624449269
晚高峰,18,12,17,604.85355140537
晚高峰,18,12,18,767.5283840648531
晚高峰,18,12,19,896.6129099069676
晚高峰,18,13,0,322.45321989616787
晚高峰,18,13,1,381.02767806815274
晚高峰,18,13,2,283.58630612413407
晚高峰,18,13,3,336.0111494386107
晚高峰,18,13,4,330.7531666685247
晚高峰,18,13,5,560.6612308448236
晚高峰,18,13,6,972.3590530754763
晚高峰,18,13,7,938.758810469342
晚高峰,18,13,8,1020.8545216546312
晚高峰,18,13,9,2020.8842660620255
晚高峰,18,13,10,2214.3768073307147
晚高峰,18,13,11,2699.457508898187
晚高峰,18,13,12,2763.889334129644
晚高峰,18,13,13,1718.8263084582784
晚高峰,18,13,14,2608.653089159049
晚高峰,18,13,15,1173.0200063033567
晚高峰,18,13,16,975.1568045428776
晚高峰,18,13,17,774.4921095977484
晚高峰,18,13,18,1130.6788686502111
晚高峰,18,13,19,667.7978865303618
晚高峰,18,14,0,468.431033560271
晚高峰,18,14,1,428.5972979508064
晚高峰,18,14,2,325.9480710548531
晚高峰,18,14,3,520.6080523629659
晚高峰,18,14,4,972.2637746313941
晚高峰,18,14,5,1140.8900573029214
晚高峰,18,14,6,580.7150085913821
晚高峰,18,14,7,1048.1815436864313
晚高峰,18,14,8,1634.0383819787216
晚高峰,18,14,9,812.6593402625025
晚高峰,18,14,10,1356.7707789937092
晚高峰,18,14,11,2018.5404606669422
晚高峰,18,14,12,2040.5737334272178
晚高峰,18,14,13,1455.3586324783187
晚高峰,18,14,14,1709.3824276295977
晚高峰,18,14,15,1072.4487506208602
晚高峰,18,14,16,1069.3294726711706
晚高峰,18,14,17,962.218788557485
晚高峰,18,14,18,977.8994571237381
晚高峰,18,14,19,568.0459220782564
晚高峰,18,15,0,415.6174403259822
晚高峰,18,15,1,599.12881509594
晚高峰,18,15,2,757.9612355082869
晚高峰,18,15,3,659.4676770847221
晚高峰,18,15,4,1116.4540837042014
晚高峰,18,15,5,610.8283091769948
晚高峰,18,15,6,699.1249754904917
晚高峰,18,15,7,983.196137360524
晚高峰,18,15,8,1531.3727768738609
晚高峰,18,15,9,1311.6099179230253
晚高峰,18,15,10,1638.8751791793006
晚高峰,18,15,11,1122.1167806423764
晚高峰,18,15,12,1104.9681334119591
晚高峰,18,15,13,1638.8121335362946
